iter	RMSE
335	4.312228798
336	4.309142959
337	4.307343983
338	4.304133816
339	4.303656638
340	4.299993717
341	4.299873045
342	4.297650862
343	4.297303531
344	4.296505832
345	4.293274404
346	4.289334747
347	4.284549206
348	4.284340733
349	4.28097441
350	4.279848329
351	4.277891875
352	4.275967018
353	4.274393692
354	4.270103458
355	4.26992937
356	4.269545465
357	4.26467718
358	4.260202522
359	4.258752834
360	4.254525528
361	4.249091932
362	4.245433198
363	4.241850615
364	4.238714423
365	4.234473634
366	4.230990875
367	4.230401561
368	4.227822786
369	4.226082043
370	4.224187308
371	4.222492507
372	4.218804509
373	4.21667625
374	4.213412108
375	4.212399203
376	4.210630005
377	4.209715826
378	4.204581368
379	4.201069407
380	4.196524472
381	4.192410982
382	4.190645084
383	4.188351935
384	4.185902222
385	4.18454473
386	4.183083876
387	4.181698206
388	4.175743392
389	4.171897296
390	4.16879638
391	4.165905729
392	4.162294144
393	4.159196239
394	4.156563577
395	4.152191572
396	4.148346482
397	4.146825185
398	4.142969201
399	4.140200078
400	4.135600974
401	4.130968901
402	4.127028786
403	4.125065374
404	4.122405798
405	4.119953961
406	4.119178574
407	4.117647414
408	4.114918476
409	4.113463114
410	4.109803221
411	4.106996268
412	4.105321171
413	4.103994988
414	4.101884841
415	4.097653266
416	4.094023629
417	4.091287919
418	4.088552728
419	4.084184369
420	4.082287783
421	4.077918033
422	4.077042387
423	4.074218273
424	4.073142272
425	4.067900482
426	4.063954884
427	4.060607852
428	4.057731448
429	4.056368882
430	4.053862592
431	4.049638948
432	4.045576635
433	4.043999997
434	4.043254689
435	4.041102568
436	4.036845884
437	4.035226166
438	4.034569168
439	4.031690007
440	4.027746351
441	4.025479576
442	4.020926553
443	4.018221511
444	4.016671424
445	4.013706749
446	4.009752062
447	4.004992064
448	4.004225133
449	4.00208098
450	3.99782229
451	3.994105704
452	3.993687933
453	3.992420948
454	3.988179247
455	3.987302626
456	3.98717653
457	3.985826336
458	3.983227798
459	3.978836849
460	3.976457768
461	3.972630305
462	3.972568239
463	3.970682503
464	3.967569801
465	3.966974916
466	3.963941054
467	3.959829582
468	3.957540791
469	3.95596934
470	3.954582771
471	3.952473586
472	3.949399887
473	3.94788137
474	3.946720803
475	3.94591993
476	3.945443906
477	3.941755371
478	3.941276865
479	3.937685841
480	3.934361417
481	3.931127608
482	3.929358587
483	3.92735869
484	3.925546462
485	3.92345403
486	3.922642893
487	3.918406132
488	3.912847274
489	3.910489542
490	3.909677845
491	3.906144956
492	3.905701445
493	3.903294872
494	3.900634148
495	3.897074446
496	3.893110079
497	3.889665978
498	3.885079981
499	3.884435285
500	3.883143565
501	3.879756366
502	3.877489519
503	3.875032214
504	3.872771848
505	3.87177563
506	3.86832967
507	3.865979462
508	3.862979613
509	3.859288037
510	3.858083855
511	3.853616795
512	3.850426808
513	3.846116465
514	3.843965273
515	3.84324639
516	3.842548762
517	3.840179707
518	3.835411591
519	3.834580809
520	3.833246293
521	3.829954502
522	3.828944876
523	3.825183831
524	3.823949116
525	3.820407184
526	3.817957737
527	3.817398753
528	3.815087343
529	3.811326207
530	3.808883702
531	3.80636741
532	3.803731141
533	3.801652472
534	3.798029054
535	3.795244663
536	3.793485383
537	3.791655299
538	3.787451135
539	3.786928483
540	3.784301029
541	3.779958539
542	3.778678098
543	3.776762072
544	3.774657291
545	3.77436408
546	3.769892148
547	3.765071274
548	3.762352134
549	3.75853715
550	3.757214586
551	3.752564604
552	3.750546074
553	3.747084211
554	3.74672042
555	3.744811963
556	3.741703503
557	3.739107972
558	3.737170118
559	3.735139018
560	3.733083989
561	3.731606357
562	3.731107763
563	3.729288569
564	3.726122114
565	3.723396094
566	3.720055464
567	3.715357476
568	3.713557547
569	3.71191912
570	3.710000143
571	3.706139423
572	3.704740399
573	3.699501085
574	3.696867035
575	3.693903734
576	3.692032618
577	3.689066471
578	3.685492401
579	3.682608252
580	3.681632805
581	3.678708146
582	3.673711745
583	3.672255471
584	3.671875822
585	3.671482081
586	3.668223311
587	3.665347215
588	3.661138736
589	3.657118643
590	3.655269426
591	3.652368979
592	3.652024545
593	3.648653022
594	3.64574515
595	3.64282957
596	3.638850938
597	3.635562618
598	3.633520707
599	3.632428236
600	3.63017389
601	3.627801005
602	3.623968986
603	3.621604877
604	3.619630401
605	3.61704901
606	3.614295871
607	3.611763436
608	3.607305261
609	3.606113988
610	3.602269369
611	3.599963355
612	3.599899076
613	3.597553885
614	3.595636563
615	3.592095582
616	3.58972463
617	3.588417335
618	3.585521654
619	3.585129857
620	3.58252673
621	3.582177306
622	3.580254702
623	3.57863464
624	3.575350814
625	3.573005173
626	3.569398139
627	3.566122849
628	3.563418721
629	3.560326152
630	3.559007488
631	3.558630952
632	3.556961115
633	3.555775467
634	3.554881662
635	3.552156287
636	3.548341164
637	3.54442137
638	3.54312936
639	3.542005937
640	3.539502781
641	3.53833918
642	3.538059955
643	3.537166358
644	3.536062459
645	3.534959938
646	3.532404406
647	3.530218671
648	3.529960925
649	3.527372596
650	3.523537885
651	3.519603791
652	3.51748298
653	3.516331487
654	3.516037879
655	3.514485603
656	3.511558912
657	3.508988732
658	3.508876849
659	3.508021218
660	3.505591673
661	3.503205717
662	3.501478145
663	3.500502314
664	3.499824858
665	3.498976028
666	3.497855318
667	3.496780511
668	3.496438242
669	3.495274703
670	3.49289459
671	3.491936831
672	3.488589306
673	3.488036723
674	3.48482895
675	3.484588439
676	3.482937273
677	3.482420629
678	3.480920712
679	3.48043573
680	3.476067895
681	3.471366164
682	3.469361706
683	3.467053269
684	3.46403216
685	3.461918923
686	3.457267543
687	3.455615458
688	3.45374716
689	3.452369465
690	3.449885914
691	3.448006326
692	3.445564007
693	3.444409554
694	3.443238981
695	3.442751451
696	3.442193009
697	3.439806503
698	3.438828675
699	3.437549663
700	3.434364757
701	3.432178008
702	3.430340315
703	3.428080709
704	3.427823068
705	3.425412728
706	3.42523371
707	3.424161285
708	3.421644479
709	3.41905385
710	3.418401369
711	3.416025403
712	3.414787868
713	3.411878019
714	3.409221212
715	3.407011879
716	3.405402017
717	3.404321988
718	3.402126444
719	3.400552125
720	3.398700903
721	3.397539997
722	3.397099336
723	3.394769412
724	3.393452719
725	3.393050517
726	3.392296652
727	3.391129582
728	3.390930282
729	3.387138095
730	3.385674082
731	3.382883541
732	3.380764795
733	3.378630898
734	3.377931506
735	3.376890472
736	3.375599744
737	3.374963888
738	3.374122354
739	3.370803207
740	3.368782604
741	3.368380303
742	3.36669159
743	3.363271904
744	3.360154029
745	3.357664189
746	3.356101491
747	3.353420502
748	3.352097935
749	3.351323947
750	3.347534885
751	3.344545759
752	3.342972234
753	3.341804782
754	3.340172222
755	3.336855378
756	3.334821499
757	3.333568462
758	3.332227004
759	3.330654748
760	3.326377362
761	3.322101701
762	3.319132338
763	3.316887265
764	3.316582244
765	3.313867097
766	3.312723567
767	3.311275788
768	3.308900275
769	3.307196282
770	3.304634687
771	3.303279769
772	3.302013427
773	3.300893533
774	3.299032955
775	3.298190493
776	3.297334321
777	3.296638984
778	3.294615852
779	3.293836448
780	3.293204699
781	3.290419683
782	3.289172507
783	3.288219438
784	3.28652586
785	3.283577523
786	3.282372833
787	3.280825741
788	3.278926437
789	3.278468306
790	3.277615591
791	3.277238249
792	3.275349656
793	3.272619272
794	3.271852248
795	3.270604449
796	3.269158382
797	3.268312123
798	3.267957999
799	3.267456443
800	3.266825694
801	3.265529841
802	3.263398464
803	3.26240967
804	3.261496049
805	3.260280566
806	3.258650894
807	3.258141702
808	3.255909881
809	3.2539371
810	3.253762911
811	3.25035019
812	3.249902323
813	3.247941572
814	3.245893444
815	3.242512506
816	3.240660793
817	3.239081177
818	3.238552116
819	3.238202879
820	3.237884378
821	3.235460241
822	3.233134159
823	3.230560492
824	3.229411161
825	3.226580451
826	3.225678077
827	3.223254058
828	3.223156375
829	3.220843245
830	3.220146017
831	3.218432923
832	3.217121492
833	3.216770418
834	3.214552052
835	3.213980521
836	3.212132732
837	3.209882079
838	3.208427301
839	3.206659227
840	3.205329775
841	3.203954392
842	3.202579309
843	3.201254396
844	3.198641711
845	3.196915341
846	3.194116846
847	3.193194677
848	3.190823681
849	3.189707682
850	3.18738109
851	3.184698751
852	3.184384467
853	3.184291878
854	3.182868386
855	3.179790024
856	3.177562246
857	3.176719909
858	3.174482069
859	3.173070994
860	3.172797357
861	3.170263241
862	3.167765507
863	3.165900836
864	3.16476269
865	3.162499347
866	3.161340998
867	3.159616029
868	3.159058944
869	3.156800839
870	3.155377543
871	3.154446604
872	3.152502346
873	3.149534618
874	3.146530485
875	3.14497912
876	3.144597588
877	3.142443037
878	3.142056685
879	3.141585473
880	3.139959403
881	3.13909675
882	3.136446414
883	3.134227372
884	3.133470818
885	3.133219947
886	3.130785205
887	3.130327716
888	3.128025048
889	3.12718705
890	3.125780208
891	3.1227011
892	3.121066013
893	3.119342398
894	3.117459051
895	3.115766051
896	3.112443531
897	3.110391533
898	3.110086799
899	3.109894625
900	3.107595099
901	3.105424294
902	3.102410812
903	3.101074484
904	3.099071721
905	3.096274752
906	3.094630575
907	3.094468804
908	3.093227944
909	3.09218123
910	3.089676941
911	3.08920229
912	3.086189269
913	3.08387658
914	3.083265694
915	3.083035645
916	3.080784112
917	3.079444936
918	3.07787799
919	3.076139557
920	3.074254123
921	3.070611689
922	3.069378615
923	3.067592997
924	3.065224752
925	3.064657538
926	3.063479443
927	3.060858873
928	3.058841959
929	3.058730209
930	3.057046363
931	3.055806172
932	3.053511656
933	3.053423172
934	3.051042385
935	3.04926893
936	3.04786111
937	3.046369948
938	3.043632449
939	3.0432311
940	3.041900013
941	3.041023119
942	3.040806525
943	3.039230368
944	3.038711394
945	3.038246029
946	3.036615758
947	3.035038523
948	3.034404306
949	3.0341311
950	3.032990125
951	3.032501589
952	3.031670146
953	3.030226464
954	3.029019945
955	3.028148652
956	3.027757155
957	3.026688885
958	3.024348967
959	3.023006621
960	3.021772291
961	3.020964016
962	3.020740576
963	3.020589054
964	3.019708586
965	3.018514457
966	3.018200411
967	3.018044004
968	3.016088891
969	3.013705883
970	3.012236975
971	3.0117065
972	3.009843475
973	3.009272703
974	3.006670405
975	3.004966791
976	3.003107644
977	3.002855969
978	2.99952476
979	2.997343174
980	2.994966048
981	2.993515282
982	2.993066437
983	2.991149962
984	2.989620801
985	2.989410993
986	2.988329336
987	2.98778749
988	2.985577079
989	2.985317928
990	2.984872955
991	2.983853329
992	2.981736615
993	2.981219395
994	2.978251453
995	2.974640653
996	2.974376785
997	2.972849776
998	2.9715116
999	2.969399821
